Country,Total Cases, New Cases, Total Deaths, Total Recovered, Active Cases, Population
USA, 10060464, 1878, 242256, 6392329, 3425879,328200000
India, 8462080, 1195, 125605, 7819886, 516589,1380000000
Brazil, 5632505, 0, 162035, 5064344, 406126,212600000
Russia, 1753836, 20396, 30251, 1312927, 410658,145900000
France, 1661853, 0, 39865, 126329, 1495659,65270000
Spain, 1388411, 0, 38833, 0, 0, 46750000
Argentina, 1228814, 0, 33136, 1042237, 153441, 45200000
UK, 1146484, 0, 48475, 0, 0, 67890000
Colombia, 1127733, 0, 32405, 1020263, 75065, 50880000
Mexico, 955128, 5931, 94323, 706267, 154538, 128900000
Peru, 917503, 0, 34783, 838783, 43937, 32970000
Italy, 862681, 0, 40638, 322925, 499118, 60460000
South Africa, 734175, 0, 19749, 675593, 38833, 59310000
Iran, 663800, 0, 37409, 509952, 116439, 83990000
Germany, 641362, 0, 11364, 402500, 227498, 83780000
Poland, 521640, 27875, 7636, 200510, 313494, 37850000
Chile, 518390,  0, 14450, 494303, 9637, 19120000
Iraq, 493139, 0, 11244, 423266, 58629, 40220000
Belgium, 488044, 8703, 12708, 28613, 446723, 11590000
Ukraine, 450934, 10746, 8312, 204229, 238393, 43730000
Indonesia, 433836, 4262, 14540, 364417, 54879, 273500000
Bangladesh, 418764, 1289, 6049, 336568, 76147, 164700000
Netherlands, 397730, 0, 7887, 0, 0, 17130000
Philippines, 393961, 0, 7485, 350216, 36260, 109600000
Turkey, 389256, 0, 10722, 334293, 44241, 84340000
Saudi Arabia, 349822, 0, 5506, 336533, 7783, 34800000
Pakistan, 341753, 1502, 6943, 317898, 16912, 220900000
Israel, 318402, 0, 2644, 306890, 8868, 86560000
Romania, 287062, 0, 7663, 195971, 83428, 19240000
Canada, 255809, 0, 10436, 211237, 34136, 37740000
Morocco, 246349, 0, 4127, 200954, 41268, 36910000
Switzerland, 211913, 0, 2712, 87300, 121901, 8654000
Nepal, 188883, 0, 1070, 152908, 34905, 29140000
Portugal, 166900, 0, 2792, 93754, 70354, 10200000
Sweden, 146461, 0, 6022, 0, 0, 10100000
Austria, 138979, 0, 1340, 83707, 53932, 900600
Costa Rica, 115417, 0, 1453, 70421, 43543, 5094000
Egypt, 108754, 0, 6343, 100106, 2305, 102300000
Hungary, 104943, 5318, 2357, 24847, 77739, 9660000
Japan, 104782, 0, 1806, 95756, 7220, 126500000
China, 86184, 33, 4634, 81131, 419, 1439000000
Ireland, 64538, 0, 1940, 23364, 39234, 4937000
Algeria, 60800, 0, 2024, 41510, 17266, 43850000
Kenya, 60704, 0, 1093, 40131, 19480, 53770000
Singapore, 58054, 7, 28, 57959, 67, 5850000
Georgia, 54852, 2859, 441, 39773, 14638, 3989000
Greece, 52254, 0, 715, 9989, 41550, 10420000
Australia, 27650, 5, 907, 25435, 1308, 25500000
South Korea, 27284, 89, 477, 24910, 1897, 51270000
Thailand, 3830, 12, 60, 3644, 126, 69800000
New Zealand, 1976, 2, 25, 1908, 43, 4822000
Chad, 1538, 0, 99, 1362, 77, 16430000
Taiwan, 573, 12, 60, 3644, 126, 23820000
