Country,Total Cases, New Cases, Total Deaths, Total Recovered, Active Cases, Population,danger of spreading virus,mortality rate,pandemic alert
USA,10060464,1878,242256,6392329,3425879,328200000,0.000186671,0.024080003,0.030653455
India,8462080,1195,125605,7819886,516589,1380000000,0.000141218,0.014843277,0.006131942
Brazil,5632505,0,162035,5064344,406126,212600000,0,0.02876784,0.026493438
Russia,1753836,20396,30251,1312927,410658,145900000,0.011629366,0.017248477,0.012020809
France,1661853,0,39865,126329,1495659,65270000,0,0.023988283,0.025461207
Spain,1388411,0,38833,0,0,46750000,0,0.027969384,0.029698631
Argentina,1228814,0,33136,1042237,153441,45200000,0,0.026965839,0.02718615
UK,1146484,0,48475,0,0,67890000,0,0.042281445,0.016887377
Colombia,1127733,0,32405,1020263,75065,50880000,0,0.028734638,0.022164564
Mexico,955128,5931,94323,706267,154538,128900000,0.006209639,0.098754303,0.007409837
Peru,917503,0,34783,838783,43937,32970000,0,0.037910503,0.02782842
Italy,862681,0,40638,322925,499118,60460000,0,0.047106636,0.014268624
South Africa,734175,0,19749,675593,38833,59310000,0,0.026899581,0.012378604
Iran,663800,0,37409,509952,116439,83990000,0,0.05635583,0.007903322
Germany,641362,0,11364,402500,227498,83780000,0,0.017718543,0.007655312
Poland,521640,27875,7636,200510,313494,37850000,0.053437236,0.014638448,0.01378177
Chile,518390,0,14450,494303,9637,19120000,0,0.027874766,0.027112448
Iraq,493139,0,11244,423266,58629,40220000,0,0.022800874,0.012261039
Belgium,488044,8703,12708,28613,446723,11590000,0.017832409,0.026038636,0.04210906
Ukraine,450934,10746,8312,204229,238393,43730000,0.023830538,0.018432853,0.010311777
Indonesia,433836,4262,14540,364417,54879,273500000,0.009823989,0.033514969,0.001586238
Bangladesh,418764,1289,6049,336568,76147,164700000,0.003078106,0.01444489,0.002542587
Netherlands,397730,0,7887,0,0,17130000,0,0.019830035,0.02321833
Philippines,393961,0,7485,350216,36260,109600000,0,0.018999343,0.003594535
Turkey,389256,0,10722,334293,44241,84340000,0,0.027544855,0.004615319
Saudi Arabia,349822,0,5506,336533,7783,34800000,0,0.015739433,0.010052356
Pakistan,341753,1502,6943,317898,16912,220900000,0.004394987,0.020315842,0.001547094
Israel,318402,0,2644,306890,8868,86560000,0,0.008303968,0.003678396
Romania,287062,0,7663,195971,83428,19240000,0,0.026694582,0.014920062
Canada,255809,0,10436,211237,34136,37740000,0,0.040796063,0.006778193
Morocco,246349,0,4127,200954,41268,36910000,0,0.016752656,0.006674316
Switzerland,211913,0,2712,87300,121901,8654000,0,0.012797705,0.024487289
Nepal,188883,0,1070,152908,34905,29140000,0,0.005664882,0.006481915
Portugal,166900,0,2792,93754,70354,10200000,0,0.01672858,0.016362745
Sweden,146461,0,6022,0,0,10100000,0,0.041116748,0.014501089
Austria,138979,0,1340,83707,53932,900600,0,0.009641744,0.154318232
Costa Rica,115417,0,1453,70421,43543,5094000,0,0.012589133,0.02265744
Egypt,108754,0,6343,100106,2305,102300000,0,0.058324292,0.001063089
Hungary,104943,5318,2357,24847,77739,9660000,0.050675128,0.022459812,0.010863665
Japan,104782,0,1806,95756,7220,126500000,0,0.017235785,0.000828316
China,86184,33,4634,81131,419,1439000000,0.000382902,0.053768681,5.98916E-05
Ireland,64538,0,1940,23364,39234,4937000,0,0.03005981,0.013072311
Algeria,60800,0,2024,41510,17266,43850000,0,0.033289474,0.001386545
Kenya,60704,0,1093,40131,19480,53770000,0,0.018005403,0.001128957
Singapore,58054,7,28,57959,67,5850000,0.000120577,0.00048231,0.009923761
Georgia,54852,2859,441,39773,14638,3989000,0.052122074,0.008039816,0.013750815
Greece,52254,0,715,9989,41550,10420000,0,0.013683163,0.005014779
Australia,27650,5,907,25435,1308,25500000,0.000180832,0.032802893,0.001084314
South Korea,27284,89,477,24910,1897,51270000,0.003261985,0.017482774,0.000532163
Thailand,3830,12,60,3644,126,69800000,0.003133159,0.015665796,5.48711E-05
New Zealand,1976,2,25,1908,43,4822000,0.001012146,0.012651822,0.000409788
Chad,1538,0,99,1362,77,16430000,0,0.064369311,9.36093E-05
Taiwan,573,12,60,3644,126,23820000,0.020942408,0.104712042,2.40554E-05
